suburb,address,property_type,bedrooms,bathrooms,parking,land_size,sold_price,sold_date,listing_url
Werribee,"6 Ivy Court, Werribee",House,4,2,2.0,620.0,760000,11 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148546060
Werribee,"46 Edgar Street, Werribee",House,3,1,1.0,697.0,615000,11 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148586600
Werribee,"59 Jindalee Way, Werribee",House,3,2,2.0,,575000,11 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148947656
Werribee,"4 Latham Street, Werribee",House,3,1,4.0,511.0,660000,10 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148883484
Werribee,"23  Benson Drive, Werribee",House,3,2,1.0,,550000,10 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148294552
Werribee,"65 Abbeygate Drive, Werribee",House,3,2,2.0,257.0,540000,10 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148846320
Werribee,"7 Larose Place, Werribee",House,3,2,2.0,802.0,888000,08 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148781104
Werribee,"13 Stawell Street, Werribee",House,5,3,2.0,582.0,720000,08 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-147990056
Werribee,"8 Sanderling Street, Werribee",House,3,1,6.0,767.0,655000,08 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-147738276
Werribee,"5 Pitanga Gardens, Werribee",House,5,2,2.0,641.0,943800,07 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148765392
Werribee,"24 Parrakeet Road, Werribee",House,3,1,5.0,547.0,615000,06 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148766780
Werribee,"16 Jabiru Court, Werribee",House,3,1,4.0,568.0,595000,06 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148755104
Werribee,"64A Kookaburra Avenue, Werribee",House,3,2,3.0,409.0,585000,06 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148724488
Werribee,"2 Laxmi Link, Werribee",House,4,2,2.0,345.0,690000,05 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148794404
Werribee,"126 Farm Road, Werribee",House,4,2,2.0,350.0,665000,05 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148449812
Werribee,"4 Canopy Way, Werribee",House,3,2,1.0,313.0,650000,05 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148809552
Werribee,"9 Aylesbury Terrace, Werribee",House,4,2,2.0,350.0,635000,05 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-136743022
Werribee,"74 Silvereye Crescent, Werribee",House,5,2,2.0,566.0,565000,05 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148868488
Werribee,"186 Farm Road, Werribee",House,4,3,4.0,574.0,1070000,03 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148794176
Werribee,"27 Kramer Street, Werribee",House,3,2,2.0,709.0,700000,01 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148705008
Werribee,"18 Canmore Street, Werribee",House,4,2,2.0,400.0,640000,01 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148705348
Werribee,"2/39 Songlark Crescent, Werribee",Unit,2,1,1.0,308.0,450000,01 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-148747960
Werribee,"1/27 Deutgam Street, Werribee",Unit,1,1,1.0,,300000,01 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-147693000
Werribee,"235 Black Forest Road, Werribee",House,4,2,2.0,,590000,31 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148634224
Werribee,"5 Manta Court, Werribee",House,3,2,2.0,443.0,760000,30 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148399532
Werribee,"389 Blackforest Road, Werribee",House,4,2,2.0,,659000,30 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148597676
Werribee,"19 Briardale Drive, Werribee",House,3,2,2.0,536.0,680000,29 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148766264
Werribee,"3 Runcorn Street, Werribee",House,4,2,2.0,,646000,28 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148757060
Werribee,"13 Sandpiper Street, Werribee",House,3,1,2.0,588.0,630000,28 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148774708
Werribee,"33  Oriole Drive, Werribee",House,3,2,1.0,597.0,685000,27 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148803308
Werribee,"3 Driver Street, Werribee",House,4,2,2.0,448.0,680000,27 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148481964
Werribee,"31 Sinns Avenue, Werribee",House,2,1,1.0,263.0,470000,27 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148780612
Werribee,"97 Tulsi Avenue, Werribee",House,4,2,2.0,320.0,730000,26 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-147837928
Werribee,"13 Pinebank Street, Werribee",House,4,2,2.0,400.0,655000,26 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148776992
Werribee,"11 Slattery Street, Werribee",House,4,1,2.0,543.0,722888,25 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148815156
Werribee,"14 Terrigal Court, Werribee",House,4,2,4.0,549.0,591500,25 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148711916
Werribee,"2/11 Parker Street, Werribee",Unit,3,2,2.0,,580000,25 Aug 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-148583620
Werribee,"1/45 Parramatta Road, Werribee",Unit,3,1,1.0,,490000,25 Aug 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-148713076
Werribee,"1/16 Galvin Road, Werribee",House,2,1,1.0,,457000,25 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148448076
Werribee,"2 Settler Court, Werribee",House,3,1,3.0,530.0,593250,23 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148592584
Werribee,"10 Amethyst Place, Werribee",House,4,2,4.0,679.0,1115000,22 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148602928
Werribee,"14 Strathford Court, Werribee",House,3,1,2.0,568.0,578000,22 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148749828
Werribee,"62 Tindale Boulevard, Werribee",House,4,2,2.0,448.0,830000,21 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148594924
Werribee,"15 Willow Street, Werribee",House,3,1,2.0,557.0,567000,21 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148775072
Werribee,"64A Swan Street, Werribee",Unit,4,2,2.0,,555000,21 Aug 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-144717664
Werribee,"3/2 Dixon Avenue, Werribee",Unit,2,1,2.0,,365000,21 Aug 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-148774088
Werribee,"22 Chancery Road, Werribee",House,4,2,2.0,431.0,780000,20 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148239464
Werribee,"29 Hourigan Way, Werribee",House,4,2,2.0,405.0,620000,20 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148525112
Werribee,"4 Miner Court, Werribee",House,3,1,2.0,665.0,610500,20 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148600064
Werribee,"22 ALBATROSS AVENUE, Werribee",House,3,1,6.0,611.0,603000,20 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148534856
Werribee,"51 Wyndham Street, Werribee",House,3,1,1.0,400.0,452000,20 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-122116426
Werribee,"9/52 Latham Street, Werribee",Unit,3,1,1.0,200.0,440000,20 Aug 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-148440700
Werribee,"18 Yankos Drive, Werribee",House,5,2,2.0,625.0,960000,19 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148537128
